URL,TituloAtual,TitleLength,Problema
"https://mclair.com.br/","Mclair | Comunicação Estratégica e Marketing de Autoridade","58","OK"
"https://mclair.com.br/blog/","Blog | Mclair","13","muito curto"
"https://mclair.com.br/blog/2/","Blog | Página 2 | Mclair","24","OK"
"https://mclair.com.br/blog/3-dicas-para-equilibrar-o-controle-e-velocidade-nas-tomadas-de-decisao/","3 dicas para equilibrar o controle e velocidade nas… | Mclair","61","OK"
"https://mclair.com.br/blog/3-setores-beneficiados-pelo-audiovisual-em-2021/","3 setores beneficiados pelo audiovisual em 2021 | Blog Mclair","61","OK"
"https://mclair.com.br/blog/3-solucoes-para-a-transformacao-digital-da-construcao-civil/","3 soluções para a transformação digital da construçã… | Mclair","62","OK"
"https://mclair.com.br/blog/3/","Blog | Página 3 | Mclair","24","OK"
"https://mclair.com.br/blog/4-caracteristicas-comuns-em-produtos-na-era-da/","4 características comuns em produtos na era da | Blog Mclair","60","OK"
"https://mclair.com.br/blog/4-erros-comuns-ao-implementar-produtos-digitais/","4 erros comuns ao implementar produtos digitais | Blog Mclair","61","OK"
"https://mclair.com.br/blog/4-filmes-e-series-sobre-tecnologia-para-maratonar-nas-ferias/","4 filmes e séries sobre tecnologia para maratonar na… | Mclair","62","OK"
"https://mclair.com.br/blog/4-formas-de-evitar-o-vazamento-de-dados/","4 formas de evitar o vazamento de dados | Blog Mclair","53","OK"
"https://mclair.com.br/blog/4/","Blog | Página 4 | Mclair","24","OK"
"https://mclair.com.br/blog/5-areas-do-varejo-que-podem-se-beneficiar-da-automacao/","5 áreas do varejo que podem se beneficiar da automaç… | Mclair","62","OK"
"https://mclair.com.br/blog/5-desafios-para-area-de-dados-e-ia/","5 desafios para área de Dados e IA | Blog Mclair","48","OK"
"https://mclair.com.br/blog/5-dicas-para-criar-um-conselho-para-sua-startup/","5 dicas para criar um conselho para sua startup | Blog Mclair","61","OK"
"https://mclair.com.br/blog/5-filmes-e-series-para-inspirar-os-amantes-da-comunicacao/","5 filmes e séries para inspirar os amantes da comuni… | Mclair","62","OK"
"https://mclair.com.br/blog/5-passos-para-ter-sucesso-na-venda-de-uma-pme/","5 passos para ter sucesso na venda de uma PME | Blog Mclair","59","OK"
"https://mclair.com.br/blog/5-passos-para-tornar-as-praticas-de-esg-uma-realidade-em-sua-empresa/","5 passos para tornar as práticas de ESG uma realidad… | Mclair","62","OK"
"https://mclair.com.br/blog/5-perguntas-cruciais-antes-de-formar-um-conselho-administrativo-ou-con/","5 perguntas cruciais antes de formar um Conselho Adm… | Mclair","62","OK"
"https://mclair.com.br/blog/5-recomendacoes-praticas-para-facilitar-o-trabalho-remoto-de-times-de-/","5 recomendações práticas para facilitar o trabalho r… | Mclair","62","OK"
"https://mclair.com.br/blog/5-series-e-filmes-impactantes-sobre-esg-para-maratonar-no-feriado/","5 séries e filmes impactantes sobre ESG para maraton… | Mclair","62","OK"
"https://mclair.com.br/blog/5-tecnologias-que-se-consolidaram-na-pandemia/","5 tecnologias  que se consolidaram na pandemia | Blog Mclair","60","OK"
"https://mclair.com.br/blog/5/","Blog | Página 5 | Mclair","24","OK"
"https://mclair.com.br/blog/6-atitudes-essenciais-para-os-profissionais-ageis/","6 atitudes essenciais para os profissionais ágeis | Blog Mclair","63","OK"
"https://mclair.com.br/blog/6-dicas-para-lidar-com-invasoes-hackers/","6 dicas para lidar com invasões hackers | Blog Mclair","53","OK"
"https://mclair.com.br/blog/6-dicas-para-pmes-e-startups-atrairem-investimento/","6 dicas para PMEs e startups atraírem investimento | Blog Mclair","64","OK"
"https://mclair.com.br/blog/6/","Blog | Página 6 | Mclair","24","OK"
"https://mclair.com.br/blog/7-razoes-para-implementar-a-automacao-de-processos-na-sua-empresa/","7 razões para implementar a automação de processos n… | Mclair","62","OK"
"https://mclair.com.br/blog/7-tendencias-de-video-content-para-2021/","7 tendências de video content para 2021 | Blog Mclair","53","OK"
"https://mclair.com.br/blog/7/","Blog | Página 7 | Mclair","24","OK"
"https://mclair.com.br/blog/8-em-cada-10-brasileiros-ja-utilizaram-inteligencia-artificial-ao-meno/","8 em cada 10 brasileiros já utilizaram Inteligência… | Mclair","61","OK"
"https://mclair.com.br/blog/8/","Blog | Página 8 | Mclair","24","OK"
"https://mclair.com.br/blog/9/","Blog | Página 9 | Mclair","24","OK"
"https://mclair.com.br/blog/10/","Blog | Página 10 | Mclair","25","OK"
"https://mclair.com.br/blog/11/","Blog | Página 11 | Mclair","25","OK"
"https://mclair.com.br/blog/12/","Blog | Página 12 | Mclair","25","OK"
"https://mclair.com.br/blog/13/","Blog | Página 13 | Mclair","25","OK"
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","14/09 - Lambda3 completa 12 anos e lança podcast com… | Mclair","62","OK"
"https://mclair.com.br/blog/14/","Blog | Página 14 | Mclair","25","OK"
"https://mclair.com.br/blog/15/","Blog | Página 15 | Mclair","25","OK"
"https://mclair.com.br/blog/54-das-empresas-que-passam-por-transformacao-digital-pretendem-aderir-/","54% das empresas que passam por transformação digita… | Mclair","62","OK"
"https://mclair.com.br/blog/a-armadilha-do-deja-vu-na-gestao-de-um-negocio/","A armadilha do déjà vu na gestão de um negócio | Blog Mclair","60","OK"
"https://mclair.com.br/blog/a-arte-de-transformar-metas-em-realidade/","A arte de transformar metas em realidade | Blog Mclair","54","OK"
"https://mclair.com.br/blog/a-complexa-relacao-entre-a-tecnologia-e-as-viagens-pos-pandemia/","A complexa relação entre a tecnologia e as viagens p… | Mclair","62","OK"
"https://mclair.com.br/blog/a-complexidade-e-a-co-dependencia-entre-humanos-e-tecnologias/","A complexidade e a co-dependência entre humanos e te… | Mclair","62","OK"
"https://mclair.com.br/blog/a-era-da-automacao-e-os-impactos-para-os-negocios-e-consumidores/","A era da automação e os impactos para os negócios e… | Mclair","61","OK"
"https://mclair.com.br/blog/a-experiencia-o-marketing-digital-e-os-festivais-de-musica/","A experiência, o Marketing Digital e os festivais de… | Mclair","62","OK"
"https://mclair.com.br/blog/a-importancia-dos-3-c-s-para-a-implementacao-do-esg-nas-organizacoes/","A importância dos 3 C""s para a implementação do ESG… | Mclair","61","OK"
"https://mclair.com.br/blog/a-maternidade-e-os-desafios-para-a-carreira-da-mulher/","A maternidade e os desafios para a carreira da mulhe… | Mclair","62","OK"
"https://mclair.com.br/blog/a-quem-interessa-a-desigualdade-social/","A quem interessa a desigualdade social? | Blog Mclair","53","OK"
"https://mclair.com.br/blog/a-relevancia-dos-dados-e-algoritmos-para-as-pessoas-e-negocios/","A relevância dos dados e algoritmos para as pessoas… | Mclair","61","OK"
"https://mclair.com.br/blog/a-tal-primeira-vez/","A tal primeira vez | Blog Mclair","32","OK"
"https://mclair.com.br/blog/a-transformacao-digital-comeca-na-cultura-empresarial/","A transformação digital começa na cultura empresaria… | Mclair","62","OK"
"https://mclair.com.br/blog/a-vida-bruta-dos-animais-do-ceu-participa-do-cine-qua-non/","""A Vida Bruta dos Animais do Céu"" participa do Cine… | Mclair","61","OK"
"https://mclair.com.br/blog/abrolhos-filmes-cruza-mesa-e-consolida-se-como-player-no-mercado-audio/","Abrolhos Filmes cruza mesa e consolida-se como playe… | Mclair","62","OK"
"https://mclair.com.br/blog/abrolhos-filmes-indica-15-producoes-de-2020/","Abrolhos Filmes indica 15 produções de 2020 | Blog Mclair","57","OK"
"https://mclair.com.br/blog/abrolhos-filmes-lanca-video-manifesto-para-reforcar-posicionamento/","Abrolhos Filmes lança vídeo manifesto para reforçar… | Mclair","61","OK"
"https://mclair.com.br/blog/abrolhos-participa-de-mercado-italiano-com-a-vida-bruta-dos-animais-do/","Abrolhos participa de mercado italiano com ""A Vida B… | Mclair","62","OK"
"https://mclair.com.br/blog/agrishow-2022-projeto-imagem-promove-a-industria-brasileira-de-maquina/","Agrishow 2022: Projeto Imagem promove a indústria br… | Mclair","62","OK"
"https://mclair.com.br/blog/agro-industrias-brasileiras-de-maquinas-e-equipamentos-buscam-expansao/","AGRO: Indústrias brasileiras de máquinas e equipamen… | Mclair","62","OK"
"https://mclair.com.br/blog/apps-de-reconhecimento-facial-alertam-para-riscos-de-controle-governam/","Apps de reconhecimento facial alertam para riscos de… | Mclair","62","OK"
